index,func,name
COG3397,R,"Predicted carbohydrate-binding protein, contains CBM5 and CBM33 domains"
COG0694,O,"Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain"
COG3360,R,Flavin-binding protein dodecin
COG1331,R,"Uncharacterized conserved protein YyaL, SSP411 family, contains thoiredoxin and six-hairpin glycosidase-like domains"
COG1214,J,tRNA A37 threonylcarbamoyladenosine modification protein TsaB
COG1566,V,Multidrug resistance efflux pump
COG1538,M,Outer membrane protein TolC
COG0845,MV,Multidrug efflux pump subunit AcrA (membrane-fusion protein)
COG0577,V,"ABC-type antimicrobial peptide transport system, permease component"
COG1136,M,"ABC-type lipoprotein export system, ATPase component"
COG2322,S,"Uncharacterized membrane protein YozB, DUF420 family"
COG1999,O,"Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family"
COG1845,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 3"
COG0109,HI,Polyprenyltransferase (heme O synthase)
COG0491,R,"Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II"
COG5652,S,VanZ like family protein (function unknown)
COG0509,E,Glycine cleavage system H protein (lipoate-binding)
COG0632,L,Holliday junction resolvasome RuvABC DNA-binding subunit
COG0563,F,Adenylate kinase or related kinase
COG0281,C,Malic enzyme
COG1600,J,Epoxyqueuosine reductase  QueG (queuosine biosynthesis)
COG0668,M,Small-conductance mechanosensitive channel
COG2124,QV,Cytochrome P450
COG2255,L,"Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit"
COG0843,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 1"
COG1622,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 2"
COG3743,L," Predicted 5' DNA nuclease, flap endonuclease-1-like, helix-3-turn-helix (H3TH) domain"
COG0437,C,Fe-S-cluster-containing dehydrogenase component
COG3474,C,Cytochrome c2
COG0532,J,"Translation initiation factor IF-2, a GTPase"
COG0195,K,"Transcription antitermination factor NusA, contains S1 and KH domains"
COG0779,J,Ribosome maturation factor RimP
COG0589,T,"Nucleotide-binding universal stress protein,  UspA family"
COG1402,HQ, Creatinine amidohydrolase/Fe(II)-dependent formamide hydrolase involved in riboflavin and F420 biosynthesis
COG4206,H,Outer membrane cobalamin receptor protein
COG1595,K,"DNA-directed RNA polymerase specialized sigma subunit, sigma24 family"
COG0318,IQ,Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II
COG0726,GM,"Peptidoglycan/xylan/chitin deacetylase, PgdA/CDA1 family"
COG3118,O,"Negative regulator of GroEL, contains thioredoxin-like and TPR-like domains"
COG1408,R,"Predicted phosphohydrolase, MPP superfamily"
COG0749,L,DNA polymerase I - 3'-5' exonuclease and polymerase domains
COG1680,V,"CubicO group peptidase, beta-lactamase class C family"
COG0102,J,Ribosomal protein L13
COG0103,J,Ribosomal protein S9
COG0052,J,Ribosomal protein S2
COG0264,J,Translation elongation factor EF-Ts
COG0528,F,Uridylate kinase
COG0233,J,Ribosome recycling factor
COG1033,R,"Predicted exporter protein, RND superfamily"
COG0017,J,Aspartyl/asparaginyl-tRNA synthetase
COG0666,T,Ankyrin repeat
COG0753,P,Catalase
COG3279,KT,"DNA-binding response regulator, LytR/AlgR family"
COG3275,T,"Sensor histidine kinase, LytS/YehU family"
COG1629,P,"Outer membrane receptor proteins, mostly Fe transport"
COG1396,K,"Transcriptional regulator, contains XRE-family HTH domain"
COG1842,KT,Phage shock protein A
COG2268,S,"Uncharacterized membrane protein YqiK, contains Band7/PHB/SPFH domain"
COG1196,D,Chromosome segregation ATPase
COG4104,U,"Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, incolved in TypeVI secretion"
COG1846,K,"DNA-binding transcriptional regulator, MarR family"
COG2153,R,"Predicted N-acyltransferase, GNAT family"
COG4585,T,Signal transduction histidine kinase
COG2197,TK,"DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains"
COG1508,K,"DNA-directed RNA polymerase specialized sigma subunit, sigma54 homolog"
COG0848,U,Biopolymer transport protein ExbD
COG0811,U,Biopolymer transport protein ExbB/TolQ
COG0252,JU,L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D
COG0084,N,Tat protein secretion system quality control protein TatD (DNase activity)
COG4995,S,"Uncharacterized conserved protein, contains CHAT domain"
COG2355,E,"Zn-dependent dipeptidase, microsomal dipeptidase homolog"
COG1670,JO,"Protein N-acetyltransferase, RimJ/RimL family"
COG1305,O,"Transglutaminase-like enzyme, putative cysteine protease"
COG0223,J,Methionyl-tRNA formyltransferase
COG4675,S,Microcystin-dependent protein  (function unknown)
COG4886,K,Leucine-rich repeat (LRR) protein
COG2340,S,"Uncharacterized conserved protein YkwD, contains CAP (CSP/antigen 5/PR1) domain"
COG0022,C,"Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component"
COG0115,EH,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
COG0508,C,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component"
COG0663,R,"Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily"
COG1024,I,Enoyl-CoA hydratase/carnithine racemase
COG1012,C,Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase
COG0183,I,Acetyl-CoA acetyltransferase
COG2050,Q,"Acyl-coenzyme A thioesterase PaaI, contains HGG motif"
COG1250,I,3-hydroxyacyl-CoA dehydrogenase
COG2151,O,Metal-sulfur cluster biosynthetic enzyme
COG3396,Q,"1,2-phenylacetyl-CoA epoxidase, catalytic subunit"
COG3460,Q,"1,2-phenylacetyl-CoA epoxidase, PaaB subunit"
COG1018,C,Ferredoxin-NADP reductase
COG1309,K,"DNA-binding transcriptional regulator, AcrR family"
COG3187,O,Heat shock protein HslJ
COG3186,E,Phenylalanine-4-hydroxylase
COG0013,J,Alanyl-tRNA synthetase
COG0739,M,"Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain"
COG2843,M,"Poly-gamma-glutamate biosynthesis protein CapA/YwtB (capsule formation), metallophosphatase superfamily"
COG0789,K,"DNA-binding transcriptional regulator, MerR family"
COG1704,S,Uncharacterized conserved protein
COG3762,S,Uncharacterized membrane protein
COG1512,S,"Uncharacterized membrane protein YgcG, contains a TPM-fold domain"
COG1160,R,Predicted GTPases
COG3391,R,DNA-binding beta-propeller fold protein YncE
COG1159,J,"GTPase Era, involved in 16S rRNA processing"
COG2885,M,Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins
COG1115,E,Na+/alanine symporter
COG0566,J,tRNA G18 (ribose-2'-O)-methylase SpoU
COG2849,V,Antitoxin component YwqK of the YwqJK toxin-antitoxin module
COG3409,M,Peptidoglycan-binding (PGRP) domain of peptidoglycan hydrolases
COG0644,C,Dehydrogenase (flavoprotein)
COG2986,E,Histidine ammonia-lyase
COG1028,IQR,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family"
COG0304,IQ,3-oxoacyl-(acyl-carrier-protein) synthase
COG0236,IQ,Acyl carrier protein
COG4261,R,"Predicted acyltransferase, LPLAT superfamily"
COG0332,I,3-oxoacyl-[acyl-carrier-protein] synthase III
COG0764,I,3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase
COG1131,V,"ABC-type multidrug transport system, ATPase component"
COG0842,V,"ABC-type multidrug transport system, permease component"
COG0824,I,Acyl-CoA thioesterase FadM
COG2834,M,Outer membrane lipoprotein-sorting protein
COG0463,M,Glycosyltransferase involved in cell wall bisynthesis
COG4258,R,Predicted exporter
COG1233,Q,Phytoene dehydrogenase-related protein
COG4927,R,Predicted choloylglycine hydrolase
COG1541,H,"Phenylacetate-coenzyme A ligase PaaK, adenylate-forming domain family"
COG0384,R,"Predicted epimerase YddE/YHI9, PhzF superfamily"
COG0784,T,CheY chemotaxis protein or a CheY-like REC (receiver) domain
COG4251,T,Bacteriophytochrome (light-regulated signal transduction histidine kinase)
COG3209,R,"Uncharacterized conserved protein RhaS, contains 28 RHS repeats"
COG1525,L,"Endonuclease YncB, thermonuclease family"
COG1813,J,"Archaeal ribosome-binding protein aMBF1, putative translation factor, contains Zn-ribbon and HTH domains"
COG4974,L,Site-specific recombinase XerD
COG2003,L,"DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif"
COG3325,G,"Chitinase, GH18 family"
COG4783,R,"Putative Zn-dependent protease, contains TPR repeats"
COG2244,M,Membrane protein involved in the export of O-antigen and teichoic acid
COG0438,M,Glycosyltransferase involved in cell wall bisynthesis
COG3934,G,"Endo-1,4-beta-mannosidase"
COG5617,S,Uncharacterized membrane protein
COG2819,R,Predicted hydrolase of the alpha/beta superfamily
COG4773,P,Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid
COG3182,S,Uncharacterized iron-regulated membrane protein
COG2207,K,AraC-type DNA-binding domain and AraC-containing proteins
COG0596,HR,Pimeloyl-ACP methyl ester carboxylesterase
COG0664,T,cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases
COG1304,CIR,"FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase"
COG3501,UXR,"Uncharacterized conserved protein, implicated in type VI secretion and phage assembly"
COG4946,S,Uncharacterized N-terminal domain of tricorn protease
COG1610,S,Uncharacterized conserved protein YqeY
COG0206,D,Cell division GTPase FtsZ
COG0849,D,Cell division ATPase FtsA
COG0773,M,UDP-N-acetylmuramate-alanine ligase
COG0707,M,UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase
COG0772,D,"Bacterial cell division protein FtsW, lipid II flippase"
COG0771,M,UDP-N-acetylmuramoylalanine-D-glutamate ligase
COG0472,M,UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase
COG0769,M,UDP-N-acetylmuramyl tripeptide synthase
COG0768,DM,Cell division protein FtsI/penicillin-binding protein 2
COG0275,J,16S rRNA C1402 N4-methylase RsmH
COG2001,J,"MraZ, DNA-binding transcriptional regulator and inhibitor of RsmH methyltransferase activity"
COG0218,D,GTP-binding protein EngB required for normal cell division
COG0171,H,NH3-dependent NAD+ synthetase
COG0358,L,DNA primase (bacterial type)
COG3979,G,Chitodextrinase
COG0142,H,Geranylgeranyl pyrophosphate synthase
COG0820,J,Adenine C2-methylase RlmN of 23S rRNA A2503 and tRNA A37
COG0809,J,S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase)
COG0128,E,5-enolpyruvylshikimate-3-phosphate synthase
COG1694,V,"NTP pyrophosphatase, house-cleaning of non-canonical NTPs"
COG1490,J,D-Tyr-tRNAtyr deacylase
COG1162,J,Putative ribosome biogenesis GTPase RsgA
COG2876,E,3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase
COG0287,E,Prephenate dehydrogenase
COG0436,E,Aspartate/methionine/tyrosine aminotransferase
COG0077,E,Prephenate dehydratase
COG0156,H,7-keto-8-aminopelargonate synthetase or related enzyme
COG0451,M,Nucleoside-diphosphate-sugar epimerase
COG1522,K,"DNA-binding transcriptional regulator, Lrp family"
COG0642,T,Signal transduction histidine kinase
COG0685,E,"5,10-methylenetetrahydrofolate reductase"
COG1410,E,"Methionine synthase I, cobalamin-binding domain"
COG0646,E,"Methionine synthase I (cobalamin-dependent), methyltransferase domain"
COG0633,C,Ferredoxin
COG0492,O,Thioredoxin reductase
COG1648,H,Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)
COG0007,H,Uroporphyrinogen-III methylase (siroheme synthase)
COG0155,P,"Sulfite reductase, beta subunit (hemoprotein)"
COG0464,MDT,"AAA+-type ATPase, SpoVK/Ycf46/Vps4 family"
COG0600,P,"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component"
COG1116,P,"ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component"
COG3487,S,Uncharacterized iron-regulated protein
COG3488,R,"Uncharacterized conserved protein with two CxxC motifs, DUF1111 family"
COG3489,S,Predicted periplasmic lipoprotein
COG2426,S,Uncharacterized membrane protein
COG3449,L,DNA gyrase inhibitor GyrI
COG0350,L,O6-methylguanine-DNA--protein-cysteine methyltransferase
COG3826,S,Uncharacterized protein
COG3145,L,Alkylated DNA repair dioxygenase AlkB
COG4319,R,Ketosteroid isomerase homolog
COG0583,K,"DNA-binding transcriptional regulator, LysR family"
COG3591,E,V8-like Glu-specific endopeptidase
COG0486,J,tRNA U34 5-carboxymethylaminomethyl modifying GTPase MnmE/TrmE
COG3296,S,"Uncharacterized conserved protein, Tic20 family"
COG0004,P,Ammonia channel protein AmtB
COG0347,TE,Nitrogen regulatory protein PII
COG0069,E,Glutamate synthase domain 2
COG0493,ER,NADPH-dependent glutamate synthase beta chain or related oxidoreductase
COG1385,J,16S rRNA U1498 N3-methylase RsmE
COG0533,J,tRNA A37 threonylcarbamoyltransferase TsaD
COG0205,G,6-phosphofructokinase
COG4757,R,Predicted alpha/beta hydrolase
COG3291,S,PKD repeat
COG3256,P,Nitric oxide reductase large subunit
COG1335,HR,Nicotinamidase-related amidase
COG1942,Q,"Phenylpyruvate tautomerase PptA, 4-oxalocrotonate tautomerase family"
COG1678,K,"Putative transcriptional regulator, AlgH/UPF0301 family"
COG0776,L,Bacterial nucleoid DNA-binding protein
COG0514,L,Superfamily II DNA helicase RecQ
COG3911,R,Predicted ATPase
COG2080,C,"Aerobic-type carbon monoxide dehydrogenase, small subunit, CoxS/CutS family"
COG1529,C,"CO or xanthine dehydrogenase, Mo-binding subunit"
COG1975,O,"Xanthine and CO dehydrogenase maturation factor, XdhC/CoxF family"
COG2068,H,CTP:molybdopterin cytidylyltransferase MocA
COG0766,M,UDP-N-acetylglucosamine enolpyruvyl transferase
COG0542,O,ATP-dependent Clp protease ATP-binding subunit ClpA
COG0188,L,"DNA gyrase/topoisomerase IV, subunit A"
COG0270,L,Site-specific DNA-cytosine methylase
COG1570,L,"Exonuclease VII, large subunit"
COG1020,Q,Non-ribosomal peptide synthetase component F
COG3321,Q,Acyl transferase domain in polyketide synthase (PKS) enzymes
COG3208,Q,Surfactin synthase thioesterase subunit
COG3342,R,"Uncharacterized conserved protein, Ntn-hydrolase superfamily"
COG4680,J,"mRNA-degrading endonuclease (mRNA interferase) HigB, toxic component of the HigAB toxin-antitoxin module"
COG5499,V,"Antitoxin component HigA of the HigAB toxin-antitoxin module, contains an N-terminal HTH domain"
COG4186,R,Calcineurin-like phosphoesterase superfamily protein
COG3401,R,Fibronectin type 3 domain
COG2963,X,Transposase and inactivated derivatives
COG2801,X,Transposase InsO and inactivated derivatives
COG3469,G,Chitinase
COG0488,R,ATPase components of ABC transporters with duplicated ATPase domains
COG0665,E,Glycine/D-amino acid oxidase (deaminating)
COG1262,O,"Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain"
COG0010,E,Arginase family enzyme
COG0550,L,DNA topoisomerase IA
COG0621,J,tRNA A37 methylthiotransferase MiaB
COG2204,T,"DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains"
COG0234,O,Co-chaperonin GroES (HSP10)
COG0459,O,Chaperonin GroEL (HSP60 family)
COG3800,R,Predicted transcriptional regulator
COG2225,C,Malate synthase
COG2224,C,Isocitrate lyase
COG2173,M,D-alanyl-D-alanine dipeptidase
COG1956,VT,"GAF domain-containing protein, putative methionine-R-sulfoxide reductase"
COG1087,M,UDP-glucose 4-epimerase
COG0760,O,Parvulin-like peptidyl-prolyl isomerase
COG3714,S,Uncharacterized membrane protein YhhN
COG1253,R,"Hemolysin or related protein, contains CBS domains"
COG1521,H,Pantothenate kinase type III
COG0044,F,Dihydroorotase or related cyclic amidohydrolase
COG1587,H,Uroporphyrinogen-III synthase
COG1866,C,"Phosphoenolpyruvate carboxykinase, ATP-dependent"
COG2363,S,"Uncharacterized membrane protein YgdD, TMEM256/DUF423 family"
COG1748,E,"Saccharopine dehydrogenase, NADP-dependent"
COG2738,O,Zn-dependent membrane protease YugP
COG0686,E,Alanine dehydrogenase
COG4095,S,"Uncharacterized conserved protein, contains PQ loop repeat"
COG0495,J,Leucyl-tRNA synthetase
COG1893,H,Ketopantoate reductase
COG2177,D,Cell division protein FtsX
COG0682,M,Prolipoprotein diacylglyceryltransferase
COG1968,I,Undecaprenyl pyrophosphate phosphatase UppP
COG0130,J,"tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA"
COG2818,L,3-methyladenine DNA glycosylase Tag
COG0035,F,Uracil phosphoribosyltransferase
COG2360,O,Leu/Phe-tRNA-protein transferase
COG1853,C,"NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family"
COG0537,FGR,Diadenosine tetraphosphate (Ap4A) hydrolase or other HIT family hydrolase
COG0782,K,"Transcription elongation factor, GreA/GreB family"
COG1060,H,"2-iminoacetate synthase ThiH (tyrosine cleavage enzyme, thamine biosynthesis)"
COG2022,H,"Thiamin biosynthesis thiazole synthase ThiGH, ThiG subunit"
COG0352,H,Thiamine monophosphate synthase
COG0351,H,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
COG0422,H,Thiamine biosynthesis protein ThiC
COG1186,J,Protein chain release factor B
COG3172,H,Nicotinamide riboside kinase
COG3201,H,Nicotinamide riboside transporter PnuC
COG2091,H,Phosphopantetheinyl transferase
COG0499,H,S-adenosylhomocysteine hydrolase
COG0211,J,Ribosomal protein L27
COG0261,J,Ribosomal protein L21
COG0697,GER,Permease of the drug/metabolite transporter (DMT) superfamily
COG0629,L,Single-stranded DNA-binding protein
COG1194,L,"Adenine-specific DNA glycosylase, acts on AG and A-oxoG pairs"
COG1530,J,Ribonuclease G or E
COG2137,O,"SOS response regulatory protein OraA/RecX, interacts with RecA"
COG0793,O,"C-terminal processing protease CtpA/Prc, contains a PDZ domain"
COG0502,H,Biotin synthase or related enzyme
COG0161,H,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
COG0132,H,Dethiobiotin synthetase
COG1506,E,Dipeptidyl aminopeptidase/acylaminoacyl peptidase
COG0355,C,"FoF1-type ATP synthase, epsilon subunit"
COG0055,C,"FoF1-type ATP synthase, beta subunit"
COG0449,M,"Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains"
COG0297,G,Glycogen synthase
COG0414,H,Panthothenate synthetase
COG0853,H,Aspartate 1-decarboxylase
COG0392,S,"Uncharacterized membrane protein YbhN, UPF0104 family"
COG1066,O,Predicted ATP-dependent serine protease
COG0667,R,Predicted oxidoreductase (related to aryl-alcohol dehydrogenase)
COG0456,J,Ribosomal protein S18 acetylase RimI and related acetyltransferases
COG0534,V,Na+-driven multidrug efflux pump
COG0720,H,6-pyruvoyl-tetrahydropterin synthase
COG2908,M,"UDP-2,3-diacylglucosamine pyrophosphatase LpxH"
COG3842,E,"ABC-type Fe3+/spermidine/putrescine transport systems, ATPase components"
COG1505,E,"Prolyl oligopeptidase PreP, S9A serine peptidase family"
COG0136,E,Aspartate-semialdehyde dehydrogenase
COG1970,M,Large-conductance mechanosensitive channel
COG0787,M,Alanine racemase
COG1435,F,Thymidine kinase
COG0313,J,16S rRNA C1402 (ribose-2'-O) methylase RsmI
COG2128,P,"Alkylhydroperoxidase family enzyme, contains CxxC motif"
COG0608,L,"Single-stranded DNA-specific exonuclease, DHH superfamily, may be involved in archaeal DNA replication intiation"
COG2175,Q,"Taurine dioxygenase, alpha-ketoglutarate-dependent"
COG1271,C,"Cytochrome bd-type quinol oxidase, subunit 1"
COG1294,C,"Cytochrome bd-type quinol oxidase, subunit 2"
COG2350,R,"Uncharacterized conserved protein YciI, contains a putative active-site phosphohistidine"
COG3525,G,N-acetyl-beta-hexosaminidase
COG2971,G,"BadF-type ATPase, related to human N-acetylglucosamine kinase"
COG0363,G,6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase
COG0591,E,Na+/proline symporter
COG4299,R,Predicted acyltransferase
COG1360,N,Flagellar motor protein MotB
COG2860,S,Uncharacterized membrane protein YeiH
COG1983,KT,Phage shock protein PspC (stress-responsive transcriptional regulator)
COG1695,K,"DNA-binding transcriptional regulator, PadR family"
COG2013,S,"Uncharacterized conserved protein, AIM24 family"
COG1721,S,"Uncharacterized conserved protein, DUF58 family, contains vWF domain"
COG0714,R,MoxR-like ATPase
COG1300,D,"Uncharacterized membrane protein SpoIIM, required for sporulation"
COG1714,S,"Uncharacterized membrane protein YckC, RDD family"
COG0652,O,Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family
COG0494,V,"8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family"
COG0204,I,1-acyl-sn-glycerol-3-phosphate acyltransferase
COG1252,C,"NADH dehydrogenase, FAD-containing subunit"
COG2032,P,Cu/Zn superoxide dismutase
COG1765,R,Uncharacterized OsmC-related protein
COG2982,M,Uncharacterized protein involved in outer membrane biogenesis
COG1738,S,"Uncharacterized PurR-regulated membrane protein YhhQ, DUF165 family"
COG1428,F,Deoxyadenosine/deoxycytidine kinase
COG0249,L,DNA mismatch repair ATPase MutS
COG1053,C,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit"
COG4638,PR,"Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit"
COG0518,F,GMP synthase - Glutamine amidotransferase domain
COG2273,G,"Beta-glucanase, GH16 family"
COG1404,O,"Serine protease, subtilisin family"
COG1357,S,"Uncharacterized protein YjbI, contains pentapeptide repeats"
COG0778,C,Nitroreductase
COG2852,L,Very-short-patch-repair endonuclease
COG2932,X,"Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains"
COG4850,I,Phosphatidate phosphatase APP1
COG3808,C,Na+ or H+-translocating membrane pyrophosphatase
COG0221,CP,Inorganic pyrophosphatase
COG2086,C,"Electron transfer flavoprotein, alpha and beta subunits"
COG2025,C,"Electron transfer flavoprotein, alpha subunit"
COG1259,R,Bifunctional DNase/RNase
COG1972,F,Nucleoside permease NupC
COG0207,F,Thymidylate synthase
COG0810,M,"Periplasmic protein TonB, links inner and outer membranes"
COG4301,R,"Uncharacterized conserved protein, contains predicted SAM-dependent methyltransferase domain"
COG2343,S,"Uncharacterized conserved protein, DUF427 family"
COG0031,E,Cysteine synthase
COG0520,E,Selenocysteine lyase/Cysteine desulfurase
COG0262,H,Dihydrofolate reductase
COG3001,G,Fructosamine-3-kinase
COG0331,I,Malonyl CoA-acyl carrier protein transacylase
COG2949,M,"Uncharacterized periplasmic protein SanA, affects membrane permeability for vancomycin"
COG1171,E,Threonine dehydratase
COG1228,Q,Imidazolonepropionase or related amidohydrolase
COG1352,NT,Methylase of chemotaxis methyl-accepting proteins
COG0553,KL,"Superfamily II DNA or RNA helicase, SNF2 family"
COG0399,M,"dTDP-4-amino-4,6-dideoxygalactose transaminase"
COG1519,M,3-deoxy-D-manno-octulosonic-acid transferase
COG5587,S,"Uncharacterized conserved protein, DUF2461 family"
COG3439,S,"Uncharacterized conserved protein, DUF302 family"
COG3503,S,Uncharacterized membrane protein
COG0192,H,S-adenosylmethionine synthetase
COG2873,E,"O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent"
COG2021,E,Homoserine acetyltransferase
COG0527,E,Aspartokinase
COG0626,E,Cystathionine beta-lyase/cystathionine gamma-synthase
COG3205,S,Uncharacterized membrane protein
COG0175,EH,3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme
COG1943,X,REP element-mobilizing transposase RayT
COG2804,NUW,Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB
COG1450,U,Type II secretory pathway component GspD/PulD (secretin)
COG1459,NUW,"Type II secretory pathway, component PulF"
COG3274,M,"Surface polysaccharide O-acyltransferase, integral membrane enzyme"
COG1100,R,GTPase SAR1 family domain
COG0158,G,"Fructose-1,6-bisphosphatase"
COG3176,R,Putative hemolysin
COG0394,T,Protein-tyrosine-phosphatase
COG1247,E,L-amino acid N-acyltransferase YncA
